Continent,Country or State,Province or City,Shop Name,Shop Age,PC Make,PC Model,Storage Type,Customer Name,Customer Surname,Customer Contact Number,Customer Email Address,Sales Person Name,Sales Person Department,Payment Method,Priority,Channel,Discount Amount,Cost Price,Sale Price,Purchase Date,Ship Date,Finance Amount,RAM,Credit Score,Cost of Repairs,Total Sales per Employee,PC Market Price,Storage Capacity
Africa,Kenya,Isiolo,CK Tech Store,8,Apple,Apple Power Mac G5,HDD,Nancy,Lloyd,293-372-6601x696,loganjeffrey@example.org,Cassandra Mcmillan,New Sales,Finance,High,Online,699,12241,14970,2021-04-08,2021-05-04,49835,8GB,688,0,734,13971,500GB
North America,Michigan,Dearborn,GH PC Shop,9,MSI,P65 Creator,SSD,Curtis,Robinson,001-724-254-3750x0788,wolfamanda@example.net,Elizabeth Martinez,Second-hand Sales,Bank Transfer,High,Online,213,21194,24285,2022-11-01,2022-11-07,0,8GB,825,0,205,22434,1TB
North America,Illinois,Naperville,Western International PCs,7,Asus,ZenBook UX425,HDD,Frederick,Holder,001-351-836-3377,paul74@example.org,Jason Phillips,New Sales,Cash,Medium,Offline,832,21539,25088,2022-09-14,N/A,0,2GB,678,0,30,23588,500GB
Africa,Morocco,Taourirt,S & A Computer Place,4,Asus,VivoBook S14,HDD,Richard,Diaz,(272)469-5523x784,wsanders@example.com,Jessica Thomas,New Sales,Cash,Low,Online,186,11471,13835,2022-11-16,2022-11-29,0,16GB,703,0,66,13661,256GB
Africa,Egypt,Asyut,Western International PCs,2,Lenovo,IdeaCentre AIO 3,HDD,Megan,Dixon,8117520688,tbrown@example.com,Evan Scott,Second-hand Sales,Bank Transfer,Medium,Offline,921,8375,12895,2022-10-26,N/A,0,2GB,841,0,815,9247,500GB
North America,Pennsylvania,New Castle,ABC Computers,1,Dell,XPS,HDD,Alex,Gonzalez,050-637-3490x8752,gerald98@example.net,Lisa Graham,Second-hand Sales,Bank Transfer,Low,Online,311,17458,22074,2022-01-01,2022-01-19,0,8GB,784,0,989,17483,256GB
North America,Illinois,Decatur,Frankies Hardware and Software,2,Dell,Alienware,SSD,Dominic,Pope,001-381-570-0178,bishopbarbara@example.net,Kathleen Robinson,Repairs,Finance,High,Offline,305,23718,28012,2023-10-28,N/A,39842,4GB,478,3188,195,25057,1TB
Africa,Egypt,Minya,CK Tech Store,2,Toshiba,Chromebook,SSD,Christopher,King,+1-773-191-0332x013,dennis11@example.com,Mario Daniel,Repairs,Cash,Medium,Offline,41,2978,5433,2023-05-14,N/A,0,2GB,517,1839,819,4040,256GB
North America,Texas,Midland,KyaSand Tech Gadgets,3,Samsung,Notebook 9,HDD,Jorge,Nichols,603.905.7976x95600,debra56@example.com,Diana Rodriguez,New Sales,Finance,High,Online,5,9696,12925,2021-09-11,2021-09-15,29918,16GB,692,0,60,11832,256GB
Africa,Angola,Bie,DEF Machines,5,MSI,GS75 Stealth,HDD,Jennifer,Green,(374)264-8830,tsutton@example.org,Hector Robertson,Second-hand Sales,Bank Transfer,Low,Online,365,29886,34249,2023-09-12,2023-09-18,0,16GB,589,0,773,30055,1TB
Africa,Angola,Bie,Mini Tech,1,Asus,TUF Gaming A15,SSD,Steve,Gomez,001-077-119-2978,lproctor@example.net,Kimberly Duncan,Second-hand Sales,Finance,High,Offline,953,25192,27288,2021-09-26,N/A,11194,2GB,447,0,586,25595,500GB
North America,New York,Mount Vernon,Greens Laptops and PCs,5,HP,Stream,SSD,William,Price,+1-046-983-2664x9160,bgreene@example.com,John Lee,New Sales,Cash,Medium,Offline,381,27639,31437,2021-03-19,N/A,0,8GB,416,0,402,30908,256GB
North America,Florida,Miramar,Ricks Computers,8,Acer,Aspire 7,HDD,William,Baker,+1-982-948-3049x107,qhall@example.org,Rachel Rowe,New Sales,Bank Transfer,High,Offline,100,20846,22870,2023-04-18,N/A,0,4GB,427,0,977,21948,1TB
Africa,Egypt,Ismailia,DEF Machines,3,Toshiba,Libretto,SSD,Michelle,Blevins,+1-546-061-2035x37196,gibsonaaron@example.org,Mario Daniel,Repairs,Cash,High,Online,22,10873,14856,2022-09-02,2022-09-25,0,8GB,630,3895,672,13090,256GB
Africa,Morocco,Tiznit,GHI Machines,10,Samsung,Notebook 9 Pen,HDD,Alan,Foster,+1-372-475-5781x044,seanprice@example.net,Gwendolyn Thomas,Repairs,Cash,High,Offline,121,16498,19472,2023-12-02,N/A,0,4GB,729,2656,605,18892,256GB
Africa,South Africa,Limpopo,Greens Laptops and PCs,8,Acer,Swift 3,SSD,Kerri,Holland,(593)753-3881,griffindebra@example.org,Jonathan Huang,Returns,Cash,High,Offline,570,3902,8455,2022-07-31,N/A,0,2GB,595,0,286,6972,500GB
Africa,South Africa,Gauteng,DEF Machines,9,Asus,Chromebook Flip C434,HDD,Laura,Tran,001-601-617-4232x0661,james14@example.net,Erin Williams,Repairs,Finance,Medium,Online,663,22959,27408,2023-04-07,2023-04-10,22824,16GB,589,1452,836,24795,500GB
Africa,Angola,Cuanza Norte,GH PC Shop,8,Samsung,Notebook 9,HDD,Mary,Phillips,161.925.6588x3024,reillymichelle@example.org,Lori Anderson,Repairs,Cash,Medium,Online,470,11196,14416,2021-03-30,2021-04-23,0,8GB,646,3450,273,11216,500GB
Africa,Tanzania,Katavi,ABC Computers,5,Dell,Precision,HDD,Rhonda,Bradford,(206)589-6946,jcastaneda@example.org,Corey Rasmussen,Second-hand Sales,Bank Transfer,Low,Offline,936,21978,24264,2023-10-02,N/A,0,8GB,788,0,504,23624,256GB
Africa,Ethiopia,Afar,Benjis Tech,9,Toshiba,Tecra,HDD,Nina,Garrison,001-421-864-7389x655,diazchristopher@example.org,Michael Summers,Returns,Cash,High,Online,989,13281,15730,2023-04-12,2023-05-07,0,2GB,635,0,783,14984,500GB
Africa,Morocco,Rabat,Frankies Hardware and Software,1,Dell,XPS,HDD,Timothy,Mccullough,(282)485-3370x80779,christina56@example.net,Gina Day,Second-hand Sales,Cash,High,Online,454,14852,17008,2022-09-02,2022-09-03,0,8GB,489,0,743,16415,256GB
Africa,Morocco,Settat,A & A PCs,8,Toshiba,Dynabook,HDD,Michael,Chandler,849-269-2151x7215,qallen@example.com,Gina Day,Repairs,Finance,Medium,Online,650,7812,11284,2021-10-03,2021-10-18,7161,16GB,478,2625,578,10264,1TB
Africa,Ethiopia,Amhara,ABC Computers,3,Acer,Aspire 7,SSD,Christian,Sanchez,454098206,gsmith@example.net,Rachel Guerrero,Second-hand Sales,Finance,High,Offline,924,5808,10083,2022-01-15,N/A,700,4GB,582,0,118,8882,1TB
Africa,Ghana,Ashanti,Ricks Computers,8,Lenovo,ThinkPad X1 Yoga,HDD,Ashley,Baker,001-582-096-1906x3500,davidsimmons@example.org,Jessica Morgan,Repairs,Bank Transfer,Low,Online,122,5940,9031,2023-02-27,2023-03-13,0,4GB,658,1321,230,8507,500GB
North America,Michigan,Battle Creek,GH PC Shop,4,Toshiba,Portege,SSD,Christina,Malone,679-933-0319,pavila@example.org,Erika Larsen,Returns,Bank Transfer,Low,Online,766,25519,30506,2023-04-26,2023-05-22,0,2GB,642,0,655,26499,500GB
Africa,Morocco,Tiznit,KyaSand Tech Gadgets,10,MSI,GP65 Leopard,HDD,Roger,Anderson,1800662289,wrangel@example.org,Gwendolyn Thomas,New Sales,Finance,Medium,Online,566,9349,12636,2021-08-19,2021-08-26,22909,8GB,815,0,671,11407,256GB
North America,North Carolina,Greensboro,Benjis Tech,10,HP,ZBook,HDD,Joshua,Greene,8095758859,judith82@example.com,Brittany Franklin,New Sales,Cash,High,Online,949,16568,20815,2022-03-07,2022-03-27,0,4GB,485,0,890,18826,500GB
North America,New York,Newburgh,XYZ Tech,3,Lenovo,ThinkPad X1 Yoga,SSD,David,Bradshaw,136-929-0121,egill@example.net,Sean Guerrero,Repairs,Bank Transfer,Low,Online,495,6696,10590,2022-01-21,2022-02-02,0,8GB,726,3979,734,7160,1TB
Africa,Ghana,Brong-Ahafo,DEF Machines,4,Asus,TUF Gaming A15,HDD,Suzanne,Cook,(693)689-4623x289,ericaevans@example.net,Kevin Lee,Returns,Cash,High,Online,176,16920,19349,2021-11-04,2021-11-23,0,8GB,627,0,718,19221,500GB
Africa,Botswana,Ghanzi,Jacks Hardware,8,Microsoft,Surface Studio,HDD,Brandy,Clark,+1-336-184-3105x43340,zamorateresa@example.org,Justin Schroeder,Repairs,Finance,Low,Offline,692,21301,25025,2022-02-24,N/A,32325,4GB,468,4411,213,24714,500GB
Africa,Angola,Cabinda,LJ Computers,8,Dell,XPS,HDD,Victoria,Martinez,711.506.1428,jennifer20@example.net,Hector Robertson,Returns,Cash,Low,Online,610,26939,29967,2023-01-23,2023-01-26,0,4GB,626,0,862,29164,256GB
Africa,Egypt,Ismailia,S & A Computer Place,2,MSI,GP76 Leopard,SSD,Paul,Walker,+1-157-646-9208,valerieyoder@example.org,Mario Daniel,Repairs,Cash,High,Online,46,28337,33134,2023-12-28,2024-01-09,0,8GB,465,2026,164,30332,500GB
Africa,South Africa,Northern Cape,S & A Computer Place,2,Lenovo,ThinkPad X1 Carbon,SSD,Kristen,Perez,001-430-120-3524x44339,williamsnicole@example.com,Mrs. Barbara Davenport,New Sales,Bank Transfer,Low,Online,64,29603,32024,2021-08-29,2021-09-17,0,4GB,464,0,512,30247,1TB
Africa,Angola,Benguela,KyaSand Tech Gadgets,10,Dell,XPS,SSD,Sara,Dawson,(392)277-9734,teresa36@example.net,Hector Robertson,Returns,Cash,High,Online,116,22209,24581,2023-12-04,2023-12-20,0,4GB,627,0,242,23679,256GB
North America,New York,Saratoga Springs,ABC Computers,6,Dell,Latitude,SSD,Hannah,Washington,+1-981-995-2522x43402,kaylaross@example.com,Ashley Miranda,Repairs,Cash,Medium,Online,937,10977,13647,2023-07-15,2023-08-07,0,4GB,767,2391,838,12728,1TB
Africa,Angola,Namibe,DEF Machines,10,Asus,ROG Zephyrus S GX701,HDD,Alicia,Martinez,001-841-933-7135x86617,pamela13@example.org,Kimberly Duncan,Repairs,Cash,Low,Online,309,13690,17023,2021-11-16,2021-11-24,0,4GB,580,4870,27,14645,1TB
North America,Georgia,Augusta,ABC Computers,8,Apple,Apple MacBook Air,HDD,Anthony,Molina,(786)681-8232x423,glewis@example.org,Christine Ramirez,Returns,Bank Transfer,Low,Online,581,29341,32475,2022-10-29,2022-11-03,0,8GB,705,0,490,30620,1TB
North America,New York,Valley Stream,ABC Computers,4,Acer,Predator Triton 500,SSD,Michele,Fleming,620.100.6071x36936,dchristensen@example.org,Gabrielle Patterson,New Sales,Bank Transfer,High,Offline,438,6669,8969,2023-07-07,N/A,0,2GB,466,0,540,8637,500GB
North America,Florida,Clearwater,A & A PCs,9,Toshiba,Qosmio,HDD,Dylan,Avery,(724)953-9190x490,dawn22@example.org,Jordan Jensen,Second-hand Sales,Finance,High,Online,192,18284,20806,2023-09-13,2023-10-05,15163,2GB,535,0,690,20077,256GB
North America,Ohio,Cleveland,Jacks Hardware,7,HP,Pavilion,SSD,Samuel,Powell,226529541,tdean@example.net,Eric James,Second-hand Sales,Finance,Medium,Offline,635,29943,32423,2022-10-01,N/A,46469,4GB,528,0,975,30433,256GB
North America,California,Oxnard,ABC Computers,4,MSI,GP76 Leopard,SSD,Jeffrey,Lopez,(691)511-9005,mirandaporter@example.net,Alyssa Martinez,Repairs,Bank Transfer,High,Online,19,17226,22153,2023-05-15,2023-06-12,0,8GB,774,4429,905,19337,500GB
North America,New York,Yonkers,Frankies Hardware and Software,1,Asus,ROG Strix Scar III,HDD,Brenda,Perez,427-492-9493,fstein@example.org,Kelsey Olson,Returns,Finance,Low,Offline,29,4453,6648,2023-08-13,N/A,1491,16GB,795,0,668,5903,256GB
Africa,Morocco,Inezgane-Ait Melloul,Greens Laptops and PCs,9,Lenovo,ThinkPad X13 Yoga,HDD,Elaine,Santiago,062-073-5190x0298,holmesjerry@example.org,John Whitney,Second-hand Sales,Cash,Low,Offline,864,3831,7348,2021-09-17,N/A,0,4GB,726,0,566,4428,1TB
Africa,Tanzania,Njombe,S & A Computer Place,10,HP,Envy,HDD,Tracy,Welch,(792)654-2713x6965,ashley40@example.net,Jennifer Morales,Returns,Bank Transfer,Low,Offline,783,13300,18078,2021-10-30,N/A,0,4GB,844,0,16,17966,500GB
Africa,Botswana,North-East,CK Tech Store,5,Microsoft,Surface Book,SSD,Destiny,Fleming,001-349-601-1512,tracie68@example.net,Madison Davis,Repairs,Cash,Low,Offline,509,15068,17659,2023-03-25,N/A,0,4GB,719,2427,690,15212,1TB
North America,North Carolina,Mooresville,ABC Computers,5,Asus,VivoBook S14,HDD,Keith,Baker,(654)177-3479x222,morganjoseph@example.net,Eric Hall,Second-hand Sales,Finance,Low,Online,362,14550,17246,2024-02-29,2024-03-30,1799,2GB,513,0,838,15145,500GB
Africa,Nigeria,Zamfara,S & A Computer Place,5,Dell,Precision,SSD,Lisa,Contreras,(781)475-8850x80283,rachel46@example.org,Timothy Leach,Repairs,Bank Transfer,Low,Online,586,26892,30033,2021-05-26,2021-06-07,0,8GB,507,3074,39,29930,256GB
Africa,South Africa,Western Cape,XYZ Tech,3,MSI,GP76 Leopard,HDD,Laurie,White,187.731.6662,brownmichael@example.com,Jonathan Huang,Second-hand Sales,Cash,High,Online,364,3432,6145,2022-12-22,2023-01-20,0,2GB,795,0,187,4698,500GB
Africa,Egypt,New Valley,Ricks Computers,9,Lenovo,ThinkPad X1 Yoga,HDD,Nicholas,Turner,(570)520-0568,christopher12@example.org,Robert Hudson,Second-hand Sales,Cash,Medium,Online,812,11700,14783,2023-11-13,2023-11-28,0,16GB,733,0,694,13229,500GB
Africa,South Africa,North West,Benjis Tech,6,Toshiba,Satellite,HDD,Matthew,Perry,+1-389-208-8920x1741,stephanieturner@example.org,Patricia Jones,Second-hand Sales,Bank Transfer,Low,Online,986,20888,24248,2022-12-18,2022-12-29,0,16GB,468,0,665,24211,256GB
North America,North Carolina,Asheville,Mini Tech,2,Toshiba,Portege,HDD,Lori,Davis,+1-211-883-8435,mcculloughjodi@example.org,Brittany Franklin,Second-hand Sales,Finance,Medium,Offline,428,9701,14488,2022-07-06,N/A,41595,4GB,407,0,244,14374,500GB
Africa,Morocco,Fahs Anjra,Western International PCs,1,Acer,Aspire E 15,SSD,Omar,Alvarez,186.387.4509x609,codylowe@example.org,Justin Kemp,New Sales,Bank Transfer,Low,Offline,341,10507,13456,2021-09-08,N/A,0,16GB,418,0,945,12299,500GB
North America,Georgia,Statesboro,S & A Computer Place,4,HP,Elitebook,SSD,Cameron,Moody,367.317.9504x991,michelle60@example.org,Chris Jones,Second-hand Sales,Finance,High,Online,630,19166,22183,2022-02-12,2022-02-27,18545,16GB,836,0,568,21894,256GB
North America,California,Oceanside,GHI Machines,4,Acer,Aspire E 15,SSD,Alvin,Adams,056-660-1839x0562,patrick77@example.net,Joy Holt,New Sales,Finance,Medium,Offline,609,26196,29074,2022-10-13,N/A,45147,2GB,402,0,506,28785,256GB
North America,Texas,Abilene,XYZ Tech,6,Lenovo,IdeaCentre AIO 3,SSD,Shelly,Page,441-538-1129x73277,reyessteven@example.com,Michael Koch,New Sales,Finance,Medium,Online,579,9468,11873,2023-02-19,2023-03-17,23038,8GB,752,0,291,10860,1TB
Africa,Angola,Cuando Cubango,S & A Computer Place,10,Apple,Apple Power Mac G5,HDD,Rachel,Booker,+1-936-245-1255x7063,maryfox@example.net,Brian Clarke,New Sales,Bank Transfer,High,Online,696,20813,25631,2022-02-23,2022-03-10,0,4GB,712,0,981,25201,500GB
North America,Illinois,Elgin,Greens Laptops and PCs,6,HP,Spectre,HDD,James,Fowler,(400)748-5961x60212,andrewlee@example.com,Kathleen Robinson,New Sales,Bank Transfer,Low,Online,532,15178,19776,2021-10-31,2021-11-21,0,2GB,802,0,969,16143,1TB
North America,Illinois,Rockford,ABC Computers,3,Asus,VivoBook S14,SSD,Taylor,Hayden,580-386-1671x153,ernestlucas@example.net,Jerry Cox,Repairs,Bank Transfer,Medium,Online,509,5763,10589,2024-02-21,2024-03-01,0,8GB,613,4918,86,5872,500GB
Africa,Ethiopia,Benishangul-Gumuz,ABC Computers,3,MSI,Modern 15,SSD,Christopher,Wagner,001-233-293-8258x9437,victor21@example.net,Christopher Nicholson,New Sales,Finance,Medium,Offline,840,25129,27479,2021-05-23,N/A,31024,16GB,790,0,887,26469,256GB
North America,North Carolina,Kannapolis,GHI Machines,9,Microsoft,Surface Pro,HDD,Charles,Ball,001-966-076-2894x6970,tgreen@example.org,Brittany Franklin,Second-hand Sales,Bank Transfer,High,Offline,64,13494,18008,2023-05-07,N/A,0,2GB,526,0,269,14102,500GB
Africa,Botswana,Central,Greens Laptops and PCs,3,Samsung,Notebook Odyssey,HDD,Melissa,Turner,(080)377-4966x069,qhughes@example.com,Lisa Williams,Second-hand Sales,Finance,Medium,Online,846,10584,14568,2023-10-21,2023-11-08,46729,2GB,724,0,932,12789,1TB
Africa,Botswana,Kweneng,KyaSand Tech Gadgets,9,MSI,P65 Creator,HDD,Kyle,Jordan,648.558.3461x1599,johnsonrandall@example.com,Justin Schroeder,Repairs,Cash,Medium,Offline,188,9785,13663,2021-11-04,N/A,0,2GB,618,3592,932,11611,1TB
North America,Michigan,Dearborn,Benjis Tech,5,Apple,Apple Power Mac G5,SSD,Marcus,Knight,410-266-9538x23943,goneal@example.org,Casey Dunn,Second-hand Sales,Finance,Medium,Offline,830,29345,33486,2021-10-08,N/A,4965,2GB,617,0,869,30318,256GB
North America,New York,Schenectady,Ricks Computers,4,Asus,ProArt StudioBook Pro X,SSD,Christopher,Baird,8267842280,dylanglass@example.org,Janet Hall,Returns,Bank Transfer,Low,Online,219,11989,14426,2023-08-24,2023-09-10,0,16GB,665,0,730,12333,256GB
Africa,Morocco,Figuig,XYZ Tech,1,Apple,Apple MacBook Pro,SSD,Brooke,Richardson,482.437.3334x60890,dicksonchristopher@example.org,Gina Day,Repairs,Bank Transfer,Medium,Online,168,23045,27772,2021-04-19,2021-05-04,0,2GB,542,1780,230,25162,1TB
North America,Texas,Plano,KyaSand Tech Gadgets,7,Toshiba,Portege,HDD,Jacob,Parker,929.729.0594x6252,emily28@example.com,Laurie Wright,Repairs,Cash,Low,Offline,713,10102,13105,2022-11-20,N/A,0,2GB,683,3070,177,10835,256GB
North America,Pennsylvania,Oil City,Jacks Hardware,2,Toshiba,Qosmio,HDD,John,Bell,+1-315-142-5699,mary16@example.net,Michael Chan,Second-hand Sales,Bank Transfer,Medium,Offline,545,24954,27412,2021-05-15,N/A,0,4GB,668,0,380,25580,256GB
North America,Michigan,Westland,DEF Machines,10,Apple,Apple iMac,HDD,Cameron,Zimmerman,9418768972,cookjames@example.net,Casey Dunn,Second-hand Sales,Cash,Medium,Online,433,15807,19324,2024-01-22,2024-02-14,0,4GB,673,0,730,16340,1TB
Africa,Nigeria,Ondo,Western International PCs,3,Acer,Spin 5,SSD,Candace,Foster,(991)789-0486x997,jerryking@example.com,Mary Shaw,Second-hand Sales,Cash,High,Online,295,6761,11039,2021-06-15,2021-07-06,0,4GB,751,0,463,7352,1TB
Africa,Egypt,Faiyum,KyaSand Tech Gadgets,10,Asus,VivoBook Flip 14,HDD,Derek,Johnson,+1-718-871-7758x3610,jeffreyacosta@example.com,Michael Gibson,Returns,Finance,Medium,Offline,484,9186,11344,2023-03-23,N/A,39697,16GB,737,0,922,10370,1TB
North America,Florida,Port St. Lucie,Mini Tech,6,Toshiba,Dynabook,SSD,Shelley,Reed,001-425-709-3645x54720,donna57@example.net,Deborah Anderson MD,New Sales,Bank Transfer,Low,Online,629,3004,5073,2022-09-11,2022-09-30,0,16GB,468,0,465,4228,1TB
Africa,Morocco,Sefrou,ABC Computers,9,Lenovo,IdeaPad 5,HDD,Jenny,Aguirre,001-161-531-9354x48607,xford@example.net,Adam Schwartz,Second-hand Sales,Bank Transfer,Medium,Online,308,13118,17514,2021-09-23,2021-10-05,0,16GB,479,0,71,17090,1TB
Africa,Egypt,Kafr El Sheikh,GH PC Shop,10,Microsoft,Surface Hub,SSD,Amy,Flores,(543)368-4379,diazkimberly@example.com,Diana Owens,Repairs,Finance,High,Offline,777,22580,26975,2022-01-09,N/A,10213,4GB,634,1230,862,23850,1TB
North America,North Carolina,Havelock,Mini Tech,10,Dell,Precision,SSD,Bradley,Brown,(176)515-5068,zbutler@example.com,Eric Hall,Returns,Finance,Low,Offline,832,2739,4814,2021-09-22,N/A,31222,16GB,757,0,781,3440,500GB
North America,Florida,Palm Bay,ABC Computers,4,HP,ZBook,SSD,Oscar,Stevens,(111)872-0517x114,billy50@example.com,Mark Evans,Returns,Cash,Low,Offline,537,26159,30528,2022-12-27,N/A,0,16GB,500,0,446,28560,256GB
Africa,Ethiopia,Tigray,S & A Computer Place,3,Lenovo,ThinkPad X1 Yoga,SSD,Michael,Grant,001-770-983-5685,webbwilliam@example.net,Christopher Nicholson,Returns,Bank Transfer,High,Online,507,29604,33433,2022-05-11,2022-05-24,0,4GB,564,0,643,32922,500GB
North America,Illinois,Palatine,GH PC Shop,5,Acer,Chromebook Spin 311,HDD,Barry,Fitzgerald,001-435-197-0983x283,william15@example.net,Glenda Cohen,Returns,Cash,High,Offline,115,27853,32636,2023-05-15,N/A,0,2GB,616,0,48,28092,500GB
North America,Texas,Lubbock,Benjis Tech,4,Samsung,Chromebook 4,HDD,Frank,Dorsey,001-129-957-3177x791,kaitlyngraves@example.com,Diana Rodriguez,New Sales,Bank Transfer,Low,Offline,849,29211,31948,2021-09-20,N/A,0,16GB,529,0,652,29612,500GB
Africa,Morocco,Moulay Yacoub,ABC Computers,6,Acer,ConceptD 5,HDD,Emily,Lee,211-209-7632x77163,mgreen@example.net,Brian Johnson,Second-hand Sales,Cash,Low,Online,407,12027,15261,2023-09-29,2023-10-03,0,8GB,689,0,507,13052,500GB
Africa,Ghana,Greater Accra,KyaSand Tech Gadgets,6,Asus,Chromebook Flip C434,HDD,Ashley,Martinez,624.028.0099x450,curtistodd@example.com,Troy Howell,Returns,Cash,Medium,Online,831,21203,25624,2023-01-20,2023-01-24,0,8GB,520,0,902,25204,256GB
Africa,Tanzania,Mara,Benjis Tech,2,Toshiba,Qosmio,SSD,Christopher,Rowe,001-051-029-1926x40735,thomaswilliam@example.net,Mary Fisher,Second-hand Sales,Cash,Low,Online,830,24456,28855,2024-02-27,2024-02-29,0,2GB,537,0,785,26746,256GB
Africa,Egypt,Aswan,Jacks Hardware,9,Samsung,Notebook Flash,HDD,Michael,Harrell,069.197.1744x05783,pagekathy@example.com,Evan Scott,New Sales,Bank Transfer,Low,Online,965,6228,10349,2021-09-03,2021-09-24,0,8GB,470,0,879,7284,500GB
Africa,Botswana,Kgatleng,Ricks Computers,3,Lenovo,Legion 5,HDD,Albert,Gill,001-192-384-6554x8836,glenncannon@example.com,Melissa Dunn,Second-hand Sales,Bank Transfer,High,Online,342,8723,11361,2023-08-19,2023-09-18,0,8GB,619,0,706,9810,500GB
Africa,Ghana,Ashanti,Ricks Computers,1,Samsung,Notebook 9 Pen,HDD,Jacob,Miller,001-061-971-9056x465,kleinsherry@example.org,Jessica Morgan,New Sales,Finance,Low,Offline,963,23975,26370,2021-09-20,N/A,16284,2GB,513,0,766,25773,500GB
Africa,South Africa,KwaZulu-Natal,Mini Tech,8,Apple,Apple Macintosh SE,SSD,Bridget,Mooney,775-504-7527x303,vcastro@example.net,Pamela Zavala,Repairs,Finance,Low,Online,920,5279,7744,2022-10-19,2022-11-09,27798,8GB,727,4850,955,7635,500GB
North America,Illinois,Elgin,Benjis Tech,6,Toshiba,Dynabook,SSD,Natalie,Martinez,+1-372-068-2528x104,kelly36@example.org,Curtis Tucker,Repairs,Finance,High,Online,459,14689,17737,2021-08-15,2021-08-29,32115,16GB,565,4033,743,16125,500GB
Africa,South Africa,Eastern Cape,ABC Computers,4,MSI,GS75 Stealth,SSD,Michael,Juarez,001-235-548-8928x2578,michael63@example.net,Erin Williams,Repairs,Finance,High,Online,681,12696,15522,2022-11-09,2022-11-20,45967,2GB,434,2871,504,13982,1TB
Africa,Botswana,North-East,Mini Tech,5,MSI,GL65 Leopard,HDD,Pamela,Stein,725-269-0907x6203,chaley@example.com,Melissa Dunn,Returns,Bank Transfer,High,Online,205,29956,32840,2023-03-06,2023-03-18,0,16GB,725,0,517,32480,1TB
North America,Pennsylvania,Reading,A & A PCs,5,Lenovo,IdeaPad Flex 5,HDD,Katrina,Pacheco,450.918.0953,uporter@example.org,Thomas Perry,Repairs,Finance,Low,Offline,20,9636,14090,2024-01-04,N/A,31580,2GB,801,2334,940,11479,500GB
North America,North Carolina,Charlotte,XYZ Tech,2,Asus,VivoBook S14,HDD,Stephen,Watson,(913)915-7101x8503,sharonfigueroa@example.com,Tamara Clark,Second-hand Sales,Finance,Low,Online,470,19452,24025,2023-06-01,2023-06-26,10547,4GB,806,0,228,22737,500GB
Africa,Nigeria,Rivers,Benjis Tech,10,Samsung,Notebook 7 Spin,HDD,Kimberly,Huynh,491.952.9704x5467,rnolan@example.org,Mary Shaw,Returns,Finance,Medium,Online,485,6035,9680,2023-05-21,2023-06-20,22111,16GB,600,0,580,9648,500GB
Africa,South Africa,Mpumalanga,DEF Machines,7,MSI,GP65 Leopard,SSD,Randall,Smith,001-939-043-2593x1276,lynchdaniel@example.net,Mark Landry,Repairs,Cash,Low,Online,264,27099,29638,2021-12-09,2021-12-16,0,16GB,484,3033,787,28476,1TB
North America,Georgia,Douglasville,S & A Computer Place,9,Dell,G Series,HDD,Pamela,Gaines,001-210-045-0495x062,lclements@example.net,Joe Thomas,New Sales,Cash,High,Online,572,12217,16595,2021-10-14,2021-11-10,0,2GB,697,0,656,15508,256GB
North America,Texas,Killeen,Benjis Tech,8,HP,Elitebook,HDD,Theresa,Mcclure,880.857.7559x848,michael43@example.com,Amanda Brown,Returns,Finance,High,Offline,993,14233,18756,2023-01-27,N/A,31229,2GB,677,0,106,17862,500GB
Africa,Tanzania,Katavi,ABC Computers,6,HP,Omen,SSD,Elizabeth,Mcintosh,+1-088-643-2062x741,gregory88@example.net,Jennifer Morales,New Sales,Finance,High,Offline,943,29573,33668,2022-08-01,N/A,3039,2GB,764,0,180,31829,500GB
Africa,Kenya,Nakuru,Frankies Hardware and Software,5,MSI,GF63 Thin,SSD,Jamie,Garcia,288-262-6487x62625,ufrank@example.org,Cassandra Mcmillan,New Sales,Bank Transfer,Low,Offline,914,21729,24852,2021-11-27,N/A,0,2GB,729,0,627,23864,256GB
Africa,Angola,Moxico,Benjis Tech,6,Dell,XPS,SSD,Monica,Valentine,695-992-9414x60642,hernandezjohn@example.com,Cassidy Mason,Second-hand Sales,Finance,Medium,Offline,312,19920,23750,2023-01-23,N/A,15779,16GB,422,0,659,21256,500GB
North America,Michigan,Jackson,GH PC Shop,8,Toshiba,Libretto,HDD,Samuel,Martin,811.476.4762x2027,tony76@example.org,Veronica Larson,New Sales,Cash,High,Offline,768,11620,14788,2022-01-18,N/A,0,8GB,835,0,452,11675,1TB
Africa,Nigeria,Ogun,Greens Laptops and PCs,2,Samsung,Notebook 7 Spin,SSD,Robert,Ross,001-327-894-9918x56541,karen41@example.com,Lisa Morgan,Second-hand Sales,Bank Transfer,High,Offline,427,6149,10322,2023-08-22,N/A,0,4GB,646,0,682,8790,256GB
North America,Illinois,Champaign,Ricks Computers,10,Microsoft,Surface Go,HDD,Ronnie,Shaw,(252)076-0686x79625,jenniferperkins@example.com,Katie Fernandez,Returns,Cash,High,Online,167,20195,22445,2023-09-26,2023-10-25,0,2GB,486,0,22,21163,1TB
North America,Ohio,Youngstown,ABC Computers,2,Samsung,Galaxy Book S,HDD,Robert,King,(442)725-5359,candaceperez@example.org,Molly Johns,Repairs,Bank Transfer,High,Online,169,22838,25488,2021-06-03,2021-06-14,0,2GB,457,1168,907,24747,256GB
